db,front
img_id,img_id
image_path,image_path
image_width,image_width
image_height,image_height
upload_date,upload_date
lat,lat
lon,lon
alt,alt
roll,roll
pitch,pitch
yaw,yaw
velo_north,velo_north
velo_east,velo_east
velo_forward,vf
velo_leftward,vl
velo_upward,vu
accel_x,ax
accel_y,ay
accel_z,az
accel_forward,accel_forward
accel_leftward,accel_leftward
accel_upward,accel_upward
ang_x,wx
ang_y,wy
ang_z,wz
ang_forward,ang_forward
ang_leftward,ang_leftward
ang_upward,ang_upward
pos_accuracy,pos_accuracy
vel_accuracy,vel_accuracy
navstat,navstat
numsats,numsats
posmode,posmode
velmode,velmode
orimode,orimode
like_cnt,like_cnt
qc_id,qc_id
user_id,user_id
product_id,product_id
dataset_id,dataset_id
qc_state,QCstate
qc_score,QCscore
price,Price
object_list,object_list
object_count,object_count
object_info_in_detail,object_info_in_detail
